ID,TCN,NAME,ABBR,RACK_ID,city_id
1035,T-71-AR-2453,Magellan Pipeline Company,Magellan,7,13
1036,T-71-AR-2454,Texas Eastern Petroleum Products Company,TEPPCO,8,14
1037,T-71-AR-2457,Delek Refining,Delek,9,15
1038,T-71-AR-2458,Hartford Wood River Terminal,HWRT,9,15
1040,T-71-AR-2456,Magellan Pipeline Company South,MagellanS,9,15
1041,T-71-AR-2464,JP Energy Partners/ATT,JP Energy,9,15
1043,T-71-AR-2463,Valero Refining and Marketing,Valero,11,16
1045,T-86-AZ-4300,Caljet Inc.,CALJET,12,17
1046,T-86-AZ-4301,Kinder Morgan Energy Partners East,KMEP E,12,17
1048,T-86-AZ-4303,Pro Petroleum,Pro Petro,12,17
1049,T-86-AZ-4306,Shell Oil Products US,SOPUS,12,17
1050,T-86-AZ-4307,Kinder Morgan Energy Partners South,KMEP S,12,17
1052,T-86-AZ-4310,Kinder Morgan Energy Partners West,KMEP W,13,18
1054,T-86-AZ-4312,Shell Oil Products US,SOPUS,13,18
1055,T-77-CA-4655,Kern Oil,Kern Oil,14,19
1057,T-33-CA-4761,Kinder Morgan Energy Partners,KMEP,15,20
1058,T-94-CA-4700,Kinder Morgan Energy Partners,KMEP,16,21
1060,T-68-CA-4620,Valero Refining and Marketing,Valero,17,22
1061,T-33-CA-4753,Tesoro,Tesoro,18,23
1062,T-33-CA-4755,Calnev Pipe Line Company,CALNEV,18,23
1064,T-33-CA-4757,Kinder Morgan Energy Partners,KMEP,18,23
1066,T-33-CA-4759,Equilon Texaco,Equilon Tx,18,23
1067,T-33-CA-4760,Phillips 66 Company PSX,PSX,18,23
1068,T-33-CA-4766,Unocal,Unocal,18,23
1070,T-77-CA-4651,Kinder Morgan Energy Partners,KMEP,20,24
1071,T-33-CA-4763,Kinder Morgan Energy Partners,KMEP,21,25
1074,T-33-CA-4764,Tesoro,Tesoro,22,26
1075,T-95-CA-4807,Tesoro,Tesoro,22,27
1077,T-95-CA-4800,Chevron,Chevron,22,28
1079,T-95-CA-4811,Chevron,Chevron,22,29
1080,T-95-CA-4810,Chevron,Chevron,22,30
1081,T-33-CA-4751,Kinder Morgan Energy Partners,KMEP,22,31
1082,T-33-CA-4780,Kinder Morgan Energy Partners,KMEP,22,32
1085,T-33-CA-4750,ExxonMobil,XOM,22,33
1086,T-33-CA-4786,ExxonMobil,XOM,22,34
1088,T-95-CA-4801,Powerine,Powerine,22,35
1090,T-33-CA-4785,Shell Oil Products US,SOPUS,22,36
1091,T-95-CA-4804,Shell Oil Products US,SOPUS,22,30
1092,T-77-CA-4654,Equilon Shell,Equilon Sh,22,37
1093,T-33-CA-4770,Equilon Texaco,Equilon Tx,22,26
1096,T-95-CA-4806,Phillips 66 Company PSX East,PSX E,22,38
1097,T-95-CA-4803,Phillips 66 Company PSX,PSX,22,38
1098,T-33-CA-4745,Vopak Terminal,Volpak,22,39
1101,T-68-CA-4613,Kinder Morgan Energy Partners,KMEP,23,40
1102,T-68-CA-4622,Shell Oil Products US,SOPUS,23,41
1103,T-68-CA-4631,Tesoro,Tesoro,23,41
1104,,None,None,23,42
