MARKET_ID,NAME,PADD,MARKET,STATE_ID
121,Boston,1,"Boston, MA",21
122,Springfield,1,"Springfield, MA",21
123,Baltimore,1,"Baltimore, MD",20
124,Salisbury,1,"Salisbury, MD",20
125,Bangor,1,"Bangor, ME",19
126,Portland,1,"Portland, ME",19
128,Bay City,2,"Bay City, MI",22
129,Cheboygan,2,"Cheboygan, MI",22
130,Detroit,2,"Detroit, MI",22
131,Flint/Owosso,2,"Flint/Owosso, MI",22
132,Jackson,2,"Jackson, MI",22
133,Lansing,2,"Lansing, MI",22
134,Muskegon,2,"Muskegon, MI",22
135,Niles,2,"Niles, MI",22
136,Traverse City,2,"Traverse City, MI",22
137,Alexandria,2,"Alexandria, MN",23
138,Duluth,2,"Duluth, MN",23
